,dfb_Intercept,dfb_x1,dfb_x2,dfb_x3,dfb_x4,dfb_x5,cooks_d,standard_resid,hat_diag,dffits_internal,student_resid,dffits,flag_outlier,flag_leverage,flag_cooks
7,-0.22849404076268084,0.11629870812344346,-0.22419129313461394,-0.17285510257334405,0.26164626264457275,0.18288905185413545,0.03743305450425468,-2.408152039564101,0.03728519030912423,-0.4739180594000698,-2.4313225136889525,-0.4784779484569986,False,False,True
26,-0.033164544647467514,0.054437198932169896,-0.004085003109588442,0.05414951935944578,-0.07042850763590361,0.0911832762527417,0.005358639890022223,-0.7791461002533194,0.05029851217325221,-0.17930933980173294,-0.778541762735888,-0.17917026015898968,False,True,False
85,-0.1550804372692427,-0.20533108916369328,0.3193612973953782,0.1343411807207355,-0.11662618080209139,0.04466091715992622,0.03729594282235911,-3.6509762438693287,0.01651066184583257,-0.4730493176553103,-3.7433286021520735,-0.4850152185956054,True,False,True
88,0.11991154194139098,-0.052968207894785284,0.10892666846986461,-0.026936464780919267,-0.1408573492078074,-0.13306211687882338,0.018252580926676296,1.3117522657036078,0.05983767761584961,0.33093123992765894,1.3136245908764668,0.33140359351697757,False,True,True
96,0.24291833902473345,-0.05582053897276457,-0.10747731984788995,-0.2629186940601537,0.3437772254984045,0.08025421762409311,0.06292483672101101,5.153846965803323,0.014014602781997284,0.6144501772528559,5.435761556405047,0.648060501989845,True,False,True
144,0.10160232539950308,-0.0503923098384472,0.026328061214332905,0.11115256335001929,0.09777687948632648,0.13758085348816695,0.020829731129519462,1.8320240340770608,0.03590001714486832,0.3535228235589843,1.84061535772453,0.35518067789793817,False,False,True
175,-0.1295335673543679,-0.0721336709290763,0.17216394837767166,-0.24299761294813457,-0.05516209629373519,0.28267073227327777,0.05928690989903163,-2.4053115351230234,0.0579233456822944,-0.5964238923736958,-2.4283877933061797,-0.602145908638967,False,True,True
180,0.2939414469901854,0.09974664318488949,-0.167712692690551,-0.49397786935042043,0.6090884756767093,-0.4818158148198623,0.11493668443543203,4.570927115310351,0.03195201189640525,0.8304336858609435,4.761976506184614,0.8651430229041421,True,False,True
184,-0.38743856499929286,0.5178981736211885,-0.5488282463282192,-0.030693487577834907,-0.18113023359228558,0.06515108177457234,0.0769676676389725,-4.982739468389054,0.018260781395942,-0.6795630992290819,-5.235369900199478,-0.7140177040282722,True,False,True
197,0.3080826306496767,0.3296477553189986,-0.21920283986116992,0.2695959603252603,-0.2811982990757173,0.06129102677813086,0.05203156280774489,4.364456315795616,0.016124927706960807,0.5587390955056477,4.52898915841935,0.579802642719042,True,False,True
202,0.02277335163235315,0.04429537905080903,-0.04061370545305139,-0.04385901455574342,0.0074978062617023665,-0.03078635258011964,0.001171909053218121,0.37010314748221507,0.048826901095667556,0.08385376747236062,0.3694735171945669,0.08371111299321561,False,True,False
224,0.1406399153484642,-0.2257438882567394,0.2457321671827426,0.1489261921482743,0.009426426002325057,0.10653076663678158,0.023988025877988876,1.86739785783161,0.03963758633366758,0.3793786436634688,1.8766450361774916,0.3812572909821759,False,False,True
235,-0.01922300383105005,-0.1380261664893489,0.17589607791972742,-0.09551892195923119,0.1291782630930054,-0.09511833198037095,0.011153245056047291,-0.9348648454481548,0.07112345321910528,-0.2586879787239518,-0.9346320887548557,-0.2586235722390816,False,True,False
250,-0.0017088865014821787,0.004622987630685639,0.00015197462806382757,0.0002492401692145938,-0.0015592756992975113,0.0036594973339850304,3.1164923596836816e-05,-0.058164546649466,0.052376496619510084,-0.013674411928160601,-0.058050323191497916,-0.013647558136528256,False,True,False
